V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_A01_02,2.2286,0.0842,0.0074,0.0228,0.0145,35.7233,0.0314,0.0003,0.0534,0.0002,0.0204,0.2536,0.0235,0.0559,0.0,0.0336,0.006,0.008,0.0112,0.0007,0.0164,0.1802,0.1361,0.2579,5.8569,1.1761,0.2004,0.0205,0.1219,1.4136,0.0402,16.3006,0.0365,0.0287,0.2002,6.1217,1.5958,0.6041,3.6161,0.8344,0.8706,0.5887,0.8588,0.163,0.0
MLT_A03,0.0153,23.3538,0.0002,0.0006,0.0003,0.011,0.0,0.0,0.0014,0.0,0.0256,0.1562,0.0005,0.0015,0.0,0.0009,0.0001,0.0002,0.0002,0.0,0.0004,0.0116,0.0037,0.0061,0.1742,0.0227,0.0053,0.0005,0.0032,0.0194,0.0007,8.3464,0.001,0.0007,0.0044,0.1102,0.0433,0.0106,0.0157,0.0217,0.016,0.0158,0.014,0.0034,0.0
MLT_B05_06,0.0,0.0009,0.0,0.0026,0.0423,0.0196,0.0,0.0,0.002,0.0,0.0037,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0,0.0361,11.0222,0.0,0.0,0.0017,0.0,0.014,0.002,0.0029,0.0,0.0007,0.0015,0.0356,0.0,0.0573,0.0001,0.016,0.0051,0.001,0.0025,0.009,0.0058,0.0,0.0
MLT_B07_08,0.0271,0.0335,0.0113,1.0445,1.2117,0.5821,0.0057,0.0001,0.0559,0.0,0.084,0.0163,0.0131,14.1181,0.2109,0.041,1.0627,0.0064,0.0069,0.0009,0.2346,0.092,0.062,0.1857,19.8149,0.1965,0.2086,0.0071,0.0783,0.1555,0.0057,0.2211,0.025,0.0141,0.0191,1.621,0.4358,0.4491,0.1946,0.1805,0.1699,0.3153,0.2083,0.0446,0.0
MLT_B09,0.0488,0.1071,0.4425,0.7218,3.01,0.0893,0.0013,0.0004,0.0565,0.0293,0.0371,0.0202,0.028,1.1148,0.0031,0.0911,0.0128,0.0049,0.0085,0.0001,0.0022,0.0299,7.3066,0.1041,4.5697,0.0472,0.1069,0.0238,0.0944,0.1676,0.0016,0.0303,0.0004,0.0,0.0039,0.0281,0.0776,0.1669,0.1341,0.1052,0.0062,0.0387,0.5299,0.0076,0.0
MLT_C10T12,7.7465,6.3089,0.2194,0.2629,0.004,47.4407,0.0025,0.0009,0.0209,0.0,0.2483,0.4844,0.0,0.4556,0.0,0.0048,0.0001,0.005,0.0,0.0,0.0,0.072,0.0,0.0,0.9689,0.2934,0.0746,1.665,2.1235,0.3466,0.0,94.3632,0.1488,0.0124,0.0,2.234,0.0034,0.1017,0.0893,0.1972,0.0302,0.0976,0.0689,0.1475,0.0
MLT_C13T15,0.0021,0.1027,0.0,0.0004,0.0049,0.049,0.6465,0.0163,0.1371,0.0002,0.0017,0.007,0.0326,0.0028,0.0,0.0092,0.0038,0.0065,0.0061,0.004,0.0115,0.1956,0.1555,0.0207,0.4579,0.0471,0.1257,0.037,0.0428,0.0257,0.0256,0.3833,0.0167,0.0105,0.0162,2.9975,0.0065,0.0725,0.0996,0.1059,0.0384,0.0866,0.3009,0.221,0.0
MLT_C16,0.0123,0.0096,0.003,0.0095,0.0015,0.0405,0.0005,0.0806,0.0914,0.0058,0.0025,0.0048,0.0035,0.009,0.0001,0.016,0.0319,0.0063,0.0263,0.0127,0.0682,1.1789,0.002,0.0203,0.3155,0.0848,0.0202,0.1034,0.0049,0.0706,0.0031,0.0929,0.0137,0.0097,0.0312,0.2368,0.085,0.0533,0.0792,0.1181,0.0243,0.1044,0.0585,0.037,0.0
MLT_C17_18,0.0184,0.1303,0.0077,0.0222,0.0089,1.4948,0.0289,0.0043,6.6222,0.0011,0.047,0.3403,0.308,0.0319,0.0001,0.0715,0.3686,0.0378,0.0435,0.0149,0.4933,0.7313,0.2893,0.0771,1.0171,5.4328,0.1963,0.2975,1.0329,0.4633,1.731,2.7713,2.2706,1.1837,3.2133,55.9369,0.2774,9.9828,0.613,1.1017,1.1699,1.0788,4.8555,0.1795,0.0
MLT_C19,0.0029,0.0074,0.0001,0.0005,0.0006,0.0043,0.0001,0.0,0.0006,0.0,0.0003,0.0011,0.0001,0.0028,0.0,0.0012,0.0071,0.0002,0.0,0.0,0.0004,0.0018,0.2736,0.0016,0.024,0.0131,0.0196,0.013,0.0594,0.0082,0.0072,0.0051,0.0004,0.0005,0.0011,0.0087,0.0,0.0043,0.0079,0.0023,0.0003,0.0043,0.003,0.0011,0.0
MLT_C20,0.0197,0.0215,0.0102,0.0295,0.0313,0.7058,0.3067,0.0021,1.6139,0.0222,0.3912,3.9316,2.1261,0.1751,0.0002,0.1584,1.9378,0.0139,0.0077,0.0088,0.0976,0.6816,0.0438,0.1102,1.5399,0.6479,0.0326,0.0197,0.068,0.2569,0.0528,0.6812,0.0903,0.0454,0.1054,0.3126,0.7604,0.2642,0.1403,0.1544,0.0982,0.3048,0.2794,1.5172,0.0
