V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_A01_02,18235.6498,167.3107,68.4371,29.0339,0.5446,4659.5813,834.5276,234.6889,82.5501,12.3662,238.7619,106.3273,144.3684,12.3976,7.3297,7.7696,9.3668,4.753,6.4671,8.7541,1.6775,78.3902,37.0617,7.0022,174.837,1007.0725,35.4898,19.5269,9.7987,31.8519,1.5427,652.6755,21.5737,25.4504,10.035,28.659,77.7768,65.7955,106.5592,418.8638,213.6685,304.9388,71.9896,102.6318,0
MMR_A03,182.1091,4145.328,13.9504,6.6971,0.0829,826.1519,25.3293,2.7248,3.1027,2.0956,11.5455,6.4567,2.2514,1.7769,1.2164,1.1844,2.0736,1.2333,1.3844,1.3244,0.2905,22.282,2.2061,0.604,11.4222,137.3186,6.4001,13.0282,3.1032,3.9578,0.3396,435.5947,8.1516,8.464,4.6763,6.7719,8.4617,13.6406,8.8718,69.4037,46.584,62.7159,16.2493,13.5912,0
MMR_B05_06,8.0121,1.918,274.5031,20.9714,0.654,1.9394,2.5858,0.6238,2.0994,1121.0834,16.03,0.6559,1.1342,9.8323,12.8983,1.2673,1.0465,0.7374,1.2294,0.9195,0.2153,1.1752,114.2197,0.4867,12.7249,12.867,14.1511,2.6161,3.8946,2.7156,0.3505,0.8972,0.5101,1.6032,0.3337,1.772,4.0111,2.6913,1.7144,5.0505,2.3881,2.7493,0.8617,1.4762,0
MMR_B07_08,9.6055,1.1053,70.4035,317.8517,1.9991,1.5983,1.8173,0.4952,3.1874,29.9251,41.9427,1.5179,1.381,232.4249,353.5713,8.0205,2.0363,2.7899,1.7886,1.2386,0.2439,7.0708,14.3605,1.1576,270.0495,5.0938,2.938,0.2504,0.1848,1.9383,0.0519,0.3873,0.1977,0.4972,0.1272,0.4706,6.4008,2.0348,1.3182,5.2829,0.9199,1.0604,0.5642,0.9351,0
MMR_B09,0.0456,0.0136,14.465,1.6759,0.0929,0.0081,0.0084,0.0024,0.0187,1.6687,0.0304,0.0019,0.005,0.1703,0.2067,0.0145,0.0034,0.0029,0.0056,0.0031,0.0007,0.0049,0.2192,0.0043,0.588,0.0335,0.0348,0.005,0.0062,0.0198,0.0007,0.0025,0.0022,0.0059,0.0018,0.0068,0.039,0.0287,0.0179,0.0287,0.0045,0.0096,0.0024,0.0043,0
MMR_C10T12,1564.6374,151.1108,18.5243,9.4536,0.1298,471.365,65.5784,2.4168,13.4155,7.7795,86.9075,29.5344,6.3052,4.4511,2.9454,2.6877,4.5236,2.6934,2.9964,2.8137,0.4212,10.0853,5.6335,1.8971,24.9004,257.4429,13.6022,18.6789,9.3575,14.588,0.8205,512.7661,13.3812,14.3592,6.3521,22.59,22.9543,32.7696,26.7607,149.0496,127.5882,206.0785,43.6452,39.6226,0
MMR_C13T15,19.7809,10.2491,27.68,6.4397,0.1598,4.7408,1548.235,3.0443,9.5597,2.2269,4.215,2.1888,10.2143,4.7016,2.7838,3.6656,5.754,3.0478,4.0147,15.3108,1.2389,45.5752,2.7311,1.5197,27.7847,62.4101,7.9741,2.5686,2.673,4.6672,1.3554,4.9949,4.9495,6.6113,2.2098,8.3401,6.3562,13.4873,12.645,51.8055,10.7744,33.516,8.9269,24.6799,0
MMR_C16,10.3679,1.5642,6.1209,5.4708,0.0415,1.8537,4.4283,160.9451,15.0266,0.4632,2.6397,0.4724,2.6936,6.8045,2.0849,4.2032,2.4925,2.6136,2.3853,6.6321,1.1115,111.2065,3.6898,0.3262,204.9161,18.7537,2.3302,0.3296,0.2346,2.6637,0.1263,0.6454,1.6523,1.1699,0.3862,1.1173,21.4581,4.4487,2.66,3.2719,2.2982,2.5272,1.322,6.1314,0
MMR_C17_18,8.5766,1.9472,7.135,4.1399,0.0469,11.6308,19.4123,6.3036,253.0028,1.6273,8.9642,7.5669,7.9929,11.5301,2.3508,3.1846,8.8519,5.8076,3.3599,3.6507,0.404,12.9305,1.9637,0.9098,11.2044,82.7062,5.2686,0.8575,1.1092,5.8154,2.6793,2.7673,68.7083,14.5174,7.1584,40.4941,10.1999,39.6105,16.9094,36.9557,30.231,16.0843,6.8776,11.1344,0
MMR_C19,110.4777,32.2618,153.4538,89.8638,1.3662,4.9508,13.8008,6.4881,8.8026,190.5762,50.4687,4.2471,11.1379,35.0562,23.9966,7.2744,5.7232,5.5661,4.9874,6.3459,1.2507,11.7255,46.7673,5.4461,107.8887,142.5514,361.0542,73.9268,134.1534,30.8359,6.3539,3.5449,4.6907,13.7784,3.3997,20.5544,16.9973,23.2325,21.2538,65.4046,15.7939,26.3973,5.9857,15.4748,0
MMR_C20,172.0909,3.7472,72.1904,43.4098,0.6731,7.1755,65.1234,16.7667,49.1391,61.6158,231.7225,32.9995,150.3787,32.621,17.8525,15.8804,26.049,23.1888,9.8749,18.4387,2.0447,33.8501,6.124,3.4619,63.1779,41.7302,7.398,1.6499,1.8449,3.7608,0.3501,2.6769,7.0151,2.2596,1.1767,3.9217,19.6638,14.6463,11.3109,13.027,9.353,56.3445,3.4932,19.254,0
MMR_C21,9.5741,0.8385,1.8486,0.8983,0.0136,0.9943,1.7738,0.2681,0.7199,0.8172,4.3658,29.5315,1.9081,0.5592,0.349,0.289,0.6197,0.4248,0.3027,0.3711,0.0553,0.8485,0.1697,0.0932,1.5099,3.1635,0.437,0.1622,0.1885,0.2246,0.038,0.314,0.2465,0.4077,0.1492,0.5193,0.5104,2.8012,0.4496,4.2658,1.1328,107.6335,0.3576,0.8298,0
MMR_C22,16.4612,3.5796,25.7828,14.1275,0.2447,11.8027,33.2971,5.8386,18.3589,3.7359,16.4941,8.1889,81.8278,13.6278,4.5109,10.0187,33.8555,25.0892,18.517,55.7736,3.7338,35.4282,1.8029,1.8934,131.5707,91.0493,34.142,0.9847,1.7954,6.213,0.9378,1.7039,3.4536,4.4498,1.4527,4.9181,14.1016,9.2946,5.9139,9.2516,3.7545,12.2039,1.7026,8.5467,0
MMR_C23,10.492,1.4373,16.6093,20.2446,0.27,6.4091,4.9087,4.6375,1.5933,2.0457,6.4794,4.2826,6.8272,186.638,11.3018,8.7832,15.079,9.7886,5.2135,13.6952,1.236,10.7536,2.4373,1.4074,715.0692,21.5935,4.0017,0.7869,0.6261,2.2148,0.1278,1.7341,0.7151,2.3603,0.4804,1.7906,36.9811,7.12,2.5448,7.3855,3.879,6.498,1.1212,3.2986,0
