V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_A01_02,9133.8787,554.6092,8.0588,21.8652,1.1642,15258.0147,180.3018,126.8255,54.92,53.3442,230.4981,35.9133,40.031,95.5679,132.0577,52.0074,177.1252,24.0602,9.9812,67.2703,10.7383,77.596,30.0269,14.8636,455.7584,498.6547,55.2116,36.8997,21.9226,25.9558,3.2712,621.7161,6.0031,39.1437,20.7042,172.9573,254.4511,48.2273,86.2393,101.5662,64.0391,31.9007,27.0322,22.5286,0
PHL_A03,148.699,375.1087,1.7961,12.2191,0.2658,1160.7678,54.3793,184.9067,47.9804,20.4666,224.1677,2.954,41.3331,175.443,16.3593,9.4641,65.0286,6.3433,4.4243,48.7831,2.2425,17.1192,7.0226,8.9322,58.7915,250.4745,5.7118,4.2272,2.0254,3.8908,1.6589,46.1983,2.8053,6.3015,4.1463,32.671,15.9403,27.5934,29.1591,30.7562,9.3061,9.4479,12.6568,15.5911,0
PHL_B05_06,0.7063,0.1766,0.7981,2.6749,0.4935,3.6201,0.4631,0.0982,0.2174,525.4164,4.0123,0.0493,0.0839,25.3639,193.9244,0.1959,0.8543,0.1485,0.0786,0.1371,0.0554,0.2185,43.284,0.1683,37.792,8.3155,1.5135,0.5304,0.7195,0.255,0.0391,0.5781,0.0657,0.2692,0.1215,0.6978,0.7645,0.2345,0.5516,0.2335,0.3094,0.2441,0.3026,0.3313,0
PHL_B07_08,1.8479,0.2065,14.025,53.9388,1.5352,18.4419,0.7153,0.2815,0.4496,2.0038,28.3009,0.2176,1.5919,124.1175,982.4631,106.9296,4.6358,1.1143,1.5906,0.6204,0.5619,2.6784,11.6697,2.2508,446.6527,7.0843,1.1469,0.3683,0.5353,0.3497,0.0478,1.9408,0.1445,0.6078,0.2333,1.1941,32.9751,0.5209,1.1302,1.4908,0.6088,0.4749,0.28,0.4743,0
PHL_B09,2.7646,0.8967,10.2746,15.5493,3.8158,2.0508,0.0669,0.0306,0.3398,62.6313,1.6891,0.0208,0.0672,3.8827,14.8781,0.2562,0.1532,0.0708,0.0592,0.0263,0.0185,0.0434,10.0807,0.2553,18.4905,0.4279,0.6463,0.087,0.1521,0.2063,0.0062,0.1376,0.0114,0.0407,0.0203,0.0987,0.4227,0.1706,0.4034,0.493,0.0266,0.0625,0.0336,0.0377,0
PHL_C10T12,2311.5089,1577.5749,2.789,17.7681,0.8219,14291.5059,233.5429,104.4357,73.9099,215.8884,734.3637,95.3363,145.8038,118.073,90.4263,107.6527,1242.6587,343.967,144.2976,460.3189,44.1776,198.1668,16.1073,10.14,430.6249,2424.5799,106.7357,35.6909,38.09,79.7802,20.3647,2322.7045,5.6998,27.2001,135.3768,345.5278,210.3959,262.7162,381.0325,305.1526,52.2681,74.0491,203.809,49.2889,0
PHL_C13T15,51.3424,19.7992,0.7613,1.7326,0.5437,258.6843,1652.1099,13.237,83.9268,22.9832,83.7005,9.6329,26.2995,23.6113,9.9066,11.5171,168.5245,34.6787,19.7126,41.9711,9.9496,119.1482,4.5197,1.1251,78.3607,196.2775,12.5824,5.3355,6.0496,7.5176,1.7397,56.401,8.6142,18.111,4.8509,33.8882,20.0796,11.3086,42.628,23.2536,7.4198,8.5053,16.9226,10.3073,0
PHL_C16,8.4251,0.3532,0.5407,0.6722,0.2152,62.5493,6.6829,161.4179,108.8951,36.2902,5.0505,2.5822,5.2587,22.7183,4.071,3.6205,36.1147,3.3433,1.9132,1.6051,1.7532,121.1218,0.5359,0.3004,104.2563,12.5471,1.694,0.4928,0.9062,0.6176,0.0681,4.0691,2.937,1.0296,0.292,2.5436,113.1832,1.1458,40.067,51.2255,12.1816,0.6098,0.5352,24.6493,0
PHL_C17_18,4.0169,0.5595,0.1678,0.6672,0.2015,53.5303,6.5192,2.1276,423.7688,6.1141,29.9991,1.816,4.3904,2.392,2.1976,15.7667,150.1303,39.7383,4.1734,2.9636,2.0953,12.2046,1.2686,0.4364,23.2208,61.7259,30.3654,2.1974,2.3662,3.3841,4.2938,38.2167,312.5055,102.3696,59.7444,148.7955,8.7027,15.023,45.0971,76.5919,113.5421,10.3901,14.2498,12.3874,0
PHL_C19,154.8236,78.7824,24.6676,94.6279,4.3322,520.6062,74.7527,12.443,55.6514,1651.8356,151.5927,9.8079,28.5825,269.8197,525.7237,57.6745,160.8705,8.5851,8.8758,31.2214,6.5765,35.8024,734.628,19.4693,480.7857,754.692,1274.7582,466.9927,643.6016,161.6789,26.4892,102.5743,2.3162,56.9642,31.3253,295.5567,83.839,52.8382,57.5317,93.3064,53.1734,59.4058,8.1186,56.8205,0
