V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_A01_02,670.6638,0.6204,0,1.2262,0.0482,2886.6096,43.4266,463.1085,563.1837,8.1524,113.9705,3.5438,43.5014,3.5503,1.5358,5.2501,1.4113,2.7113,2.3835,9.5223,0.6079,9.4619,7.9873,6.1016,23.7201,78.987,5.9221,0.7398,4.504,5.5335,0.5234,170.522,4.5311,5.664,4.9226,4.9747,6.1706,25.4021,31.8482,23.3225,3.6883,48.5184,4.1041,21.6125,0.0
PRT_A03,0.3293,14.1881,0,0.0393,0.0019,20.2952,0.5114,0.1444,0.2718,0.2602,0.3059,0.194,0.1965,0.1698,0.0865,0.2571,0.0644,0.123,0.0993,0.1806,0.0236,0.2258,1.2804,0.4582,0.4268,1.7441,0.2188,0.0243,0.1668,0.155,0.0161,28.5868,0.1038,0.1894,0.1588,0.1473,0.1472,0.6092,0.3841,0.6574,0.1235,1.0408,0.1173,0.1062,0.0
PRT_B05_06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT_B07_08,1.5203,0.0202,0,91.662,3.3941,10.8132,0.3532,0.3005,1.8977,10.1419,26.2518,0.204,0.176,240.9717,8.6133,10.2974,0.0713,3.7046,0.5668,0.3822,0.0437,0.6396,7.2795,3.6782,80.7626,5.2749,0.6748,0.048,0.2374,2.3231,0.0312,1.0829,0.1825,0.1676,0.2354,0.1546,1.378,1.4564,1.5184,4.1413,0.6125,0.5749,0.4695,0.1513,0.0
PRT_B09,0.1272,0.0171,0,2.0116,0.1966,0.1483,0.0188,0.0134,0.2417,10.0313,0.2537,0.0045,0.0372,1.1652,1.0972,0.1658,0.0014,0.0085,0.0216,0.006,0.0013,0.017,4.0284,0.1042,3.1854,0.0598,0.1064,0.0027,0.024,0.1249,0.0004,0.0213,0.0006,0.0,0.0004,0.0005,0.1827,0.1018,0.074,0.1154,0.0052,0.0415,0.0071,0.0106,0.0
PRT_C10T12,738.3823,8.6443,0,1.3969,0.1254,1912.8782,42.4655,1.6545,14.6629,0.6641,73.7768,15.2071,1.8565,1.9352,1.033,4.9249,1.3677,1.3672,1.5338,2.0279,0.2059,4.7366,1.1026,2.3791,12.7075,154.0954,3.7326,0.594,1.4833,2.2164,0.1994,1740.288,6.7468,0.8548,2.2221,1.403,8.7614,17.073,8.6789,12.2377,5.1937,234.9271,4.0009,1.5869,0.0
PRT_C13T15,21.5068,2.0437,0,1.5955,0.0993,7.3258,2320.7102,1.1478,6.428,0.9236,6.239,8.2267,32.8001,4.7169,0.4769,9.162,0.6214,1.5438,9.7876,128.3141,2.5242,108.2738,2.0629,0.8169,14.2274,36.6524,1.5739,0.1938,1.3462,1.6568,0.111,25.6504,2.5403,0.6515,1.2813,0.6673,4.9114,5.7474,5.583,2.7095,2.7005,28.4676,26.1665,2.8965,0.0
PRT_C16,45.0815,0.0732,0,0.9141,0.0584,80.9248,3.1845,762.0838,42.8654,1.2909,6.858,0.633,8.4645,30.7508,29.5563,16.4146,0.4844,15.1623,4.5087,4.2505,1.3821,268.267,0.9528,34.6554,353.3193,54.5564,2.4787,0.1179,0.5892,10.8092,0.0777,14.497,0.5992,0.7896,0.816,0.744,9.8973,7.8949,12.1283,8.1249,1.6407,4.1174,2.315,2.8267,0.0
PRT_C17_18,21.5076,2.0272,0,3.4378,0.1736,287.726,32.6542,20.6328,979.9072,4.4183,29.1,17.366,19.8436,32.6176,9.5877,16.1209,5.7334,8.3222,7.0293,11.2639,2.1488,25.387,120.167,9.5769,13.6894,216.6115,12.494,3.1366,3.3887,10.2746,2.3345,34.5715,135.3654,10.21,22.0976,30.1437,145.857,92.9692,110.5977,29.2044,48.2181,52.6085,14.0889,29.3902,0.0
PRT_C19,143.5237,25.5277,0,32.0919,1.3854,91.648,38.407,19.3145,48.4989,448.1765,172.4417,7.0527,37.2137,74.0277,8.7403,39.6904,3.3688,11.5354,9.8128,10.8147,1.114,32.7662,106.021,34.2337,192.4354,348.1562,592.5472,17.0653,622.8341,33.3064,4.1319,32.9211,5.9998,6.1947,6.7847,20.901,5.8143,46.5424,59.1884,78.5387,17.4168,108.7285,16.4374,18.212,0.0
