V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T
ROW_A01_02,182714.7458,1247.1761,2492.9513,687.6278,1446.1314,133205.8322,6806.2722,5574.2796,2393.8809,475.698,2164.5946,1682.8578,2986.1525,432.0218,397.9648,320.4251,95.3508,96.9634,174.0269,192.6624,47.5884,994.5382,1528.0299,338.0452,6420.8578,9184.1147,780.3363,348.2839,306.5006,481.5235,36.6956,14418.8042,277.7021,305.9375,130.2336,670.5148,836.7427,704.8461,928.9792,9195.7276,3685.0513,5712.293,630.6778,1193.1117,0.0
ROW_A03,541.2602,7530.8608,108.3417,20.9989,6.9196,10052.983,35.3025,11.1157,13.2597,22.9478,30.1681,12.9402,8.9397,20.0815,21.8129,10.8104,6.3961,7.0073,10.5529,9.8549,2.5839,27.77,23.5241,12.6196,131.1549,239.4691,73.131,52.4492,83.3604,21.6335,2.0658,2276.1031,21.9952,25.4945,10.3873,25.5597,25.8838,37.7654,25.509,521.2675,125.0641,155.87,43.5937,52.9659,0.0
ROW_B05_06,3485.357,429.7534,244317.9576,9277.9819,9571.8628,9083.7704,1019.494,179.7451,946.4699,113711.1054,17118.2041,558.0624,1000.7186,2485.6601,4560.013,522.6266,371.3961,300.9496,889.205,353.7211,165.558,396.6026,32243.4963,1266.6184,8664.058,8991.3739,16117.5295,1741.979,2279.989,2335.6945,449.5588,2870.2322,380.8974,1587.0772,229.1289,841.47,2189.6369,1168.026,939.8825,5107.8023,4168.6703,1737.9645,566.5561,1048.7931,0.0
ROW_B07_08,1988.5436,206.8291,8059.7937,36564.776,4806.5023,1899.9518,208.7117,33.5593,322.318,1435.229,5710.9723,199.8521,164.5655,9381.8227,26889.9391,492.3196,158.81,213.7086,252.5511,109.4646,36.2504,626.8034,1316.9295,333.3203,30287.7523,652.1106,302.0857,28.3846,30.9429,190.2054,10.1215,267.3525,42.7608,65.4204,21.0682,66.8668,1202.3421,180.2668,173.1194,1684.8699,349.5972,173.6777,102.1911,209.438,0.0
ROW_B09,544.3528,97.9206,54294.2765,4579.5151,8555.3628,167.2431,21.0978,5.0521,79.7329,3525.9653,177.2683,10.0975,19.8848,2296.6642,4169.1423,255.707,6.4912,7.9049,23.3293,8.2826,3.0222,96.0211,670.7881,33.8566,3105.919,108.9404,115.6569,17.3823,33.4413,112.5355,3.4305,36.0899,11.3461,13.2549,6.0184,25.1395,135.6879,76.6325,68.5302,338.4439,115.3339,71.0739,17.6752,53.7043,0.0
ROW_C10T12,36958.4671,3456.8131,3788.4958,368.2444,132.0651,58326.808,1078.2549,181.4466,373.642,681.8206,2346.7733,793.2198,331.7547,406.4891,399.4986,275.8653,86.1476,94.9853,175.0058,205.2613,35.4815,301.0326,710.7316,260.4537,3608.3603,6989.366,1257.1506,593.9682,580.0658,457.6205,19.8596,33224.0044,280.2621,247.2011,118.3191,1369.1945,1056.3711,590.0236,460.7144,7422.8521,5208.8862,4762.436,915.9663,1665.2066,0.0
ROW_C13T15,819.1463,279.8405,1173.6788,166.5075,72.4933,720.7135,42697.0795,122.8842,771.2381,263.9398,363.5357,278.4931,881.8844,744.3655,618.9061,714.9062,118.5339,355.9261,264.28,1036.2403,92.4441,2407.6915,512.1069,261.1642,1837.1023,4643.7681,754.3267,165.5926,275.0321,232.0112,56.9027,949.963,195.1741,345.2921,201.9164,399.8674,317.2974,494.4584,463.346,3809.1589,802.3198,1337.701,733.0667,1820.0221,0.0
ROW_C16,464.0464,35.871,204.7538,113.4058,20.5429,409.2865,106.1929,4820.1477,866.185,25.0173,178.9919,28.6663,87.0587,168.8311,96.438,113.5411,36.6332,61.7331,99.116,131.5235,56.4355,4323.9833,193.1167,33.5025,9437.9494,554.0957,89.984,12.7121,12.3002,72.8834,7.1503,75.5861,52.5559,34.2627,14.256,46.4519,781.7369,108.7148,71.8981,249.9933,149.9753,84.1441,49.6425,321.802,0.0
ROW_C17_18,553.7169,68.2005,349.0909,94.4495,33.4441,4170.0513,644.504,267.7767,10231.3792,139.0435,815.4054,713.8558,365.1098,863.8732,162.9961,154.8846,187.3544,285.8658,157.6898,110.7818,17.9807,475.2071,219.0525,148.7009,728.1865,4710.5715,320.4501,46.7265,88.0479,209.1152,126.9604,519.3392,3367.047,367.1818,215.9135,1822.4152,496.8206,1682.7099,698.624,2045.856,2080.4261,732.2995,360.0266,967.8987,0.0
ROW_C19,6451.0235,1991.5504,6778.1424,2476.7761,789.0918,1812.4456,558.4308,238.1263,353.4364,13435.3014,9411.9276,319.2337,512.8318,1797.565,2460.3778,300.8281,183.8462,209.3446,271.9473,217.664,66.8276,388.8291,3726.9052,641.1984,5950.4042,6777.8401,26733.6129,3820.2266,7555.5019,1277.521,311.3158,758.0314,306.8733,564.1796,172.745,783.2684,623.5271,1024.3702,1146.5375,4521.8698,1610.351,1250.9428,352.9224,988.5906,0.0
