V1,RUS_A01_02,RUS_A03,RUS_B05_06,RUS_B07_08,RUS_B09,RUS_C10T12,RUS_C13T15,RUS_C16,RUS_C17_18,RUS_C19,RUS_C20,RUS_C21,RUS_C22,RUS_C23,RUS_C24,RUS_C25,RUS_C26,RUS_C27,RUS_C28,RUS_C29,RUS_C30,RUS_C31T33,RUS_D,RUS_E,RUS_F,RUS_G,RUS_H49,RUS_H50,RUS_H51,RUS_H52,RUS_H53,RUS_I,RUS_J58T60,RUS_J61,RUS_J62_63,RUS_K,RUS_L,RUS_M,RUS_N,RUS_O,RUS_P,RUS_Q,RUS_R,RUS_S,RUS_T
RUS_A01_02,11837.5069,11.6281,7.2999,0.7547,19.4234,23605.6449,130.2261,1367.6947,466.0909,17.9034,32.736,10.7422,72.7973,13.3646,22.8556,10.774,2.8818,1.7492,2.4314,2.6974,5.3806,90.0694,128.9038,4.4047,132.1237,457.5443,30.7107,9.1614,5.1245,125.7039,1.1381,611.5176,3.4109,3.8405,1.3267,133.8115,38.4997,21.7465,8.6078,802.8075,90.9428,225.2751,24.1364,109.5016,0.0
RUS_A03,90.5396,70.8415,2.1388,0.2548,7.0257,1235.3111,1.1183,1.6242,1.994,8.7434,3.5013,0.4231,0.903,2.722,5.1738,4.1353,1.0737,0.5977,0.9136,1.4284,1.4676,1.6593,5.2796,0.6099,14.7919,46.1832,7.5028,2.3136,1.6313,10.0716,0.0668,157.9978,1.1187,0.6764,0.5292,4.8251,2.2204,4.697,1.5262,34.3368,6.0291,17.7711,1.5124,2.2568,0.0
RUS_B05_06,182.4995,62.4075,929.1095,10.6461,1240.7468,88.2222,5.0269,17.1839,27.921,33453.4617,377.254,3.7861,14.1824,102.3932,1208.2098,30.832,10.3514,7.9041,14.8277,11.9383,18.1844,51.481,12461.7538,26.8505,373.305,4406.2465,1093.0406,42.1991,227.5182,231.6033,5.2053,14.6817,4.9724,16.0629,5.7628,115.8945,70.0609,96.2619,36.2663,194.2489,22.884,36.3498,77.9861,11.1864,0.0
RUS_B07_08,31.3755,0.951,44.544,12.6114,148.1911,42.8858,4.0447,5.4074,10.1521,23.9778,310.234,3.5147,32.6384,417.2492,1665.1415,59.9647,5.4319,10.1896,10.1249,10.4388,16.1935,279.461,27.0435,21.2411,704.8248,51.8582,32.9912,1.6644,6.9558,108.5142,0.2171,5.7669,1.0171,1.7681,1.064,1.3905,21.2783,13.5595,4.587,22.9334,4.8806,9.3344,3.1921,13.9907,0.0
RUS_B09,36.3113,8.283,7514.6685,4.6389,34417.9388,62.004,4.6947,7.0337,10.1257,12968.0315,35.0822,2.837,12.7637,36.6552,56.4173,32.7835,16.4352,8.1617,17.8791,13.3569,14.1304,33.3183,106.792,14.7242,623.2291,231.0408,300.4431,16.4765,41.7937,73.9024,1.291,18.2672,8.322,18.1763,10.8823,18.7213,94.3906,177.3982,37.169,104.4048,23.817,29.4984,17.3638,7.8889,0.0
RUS_C10T12,3122.0655,63.4614,12.3114,1.3284,34.9364,10595.5007,33.0462,11.4196,23.1966,149.0385,84.4749,12.7998,20.7463,26.0144,60.0456,30.8076,13.4026,8.3181,11.3818,12.5144,13.5743,20.9919,81.4977,9.6412,113.3519,1110.2595,51.7544,7.5798,15.5817,127.3632,1.5463,2034.8557,12.6052,6.3847,7.2438,176.9037,37.443,61.9712,15.7249,1106.6586,238.9011,643.7112,29.151,61.887,0.0
RUS_C13T15,24.2843,21.8422,7.8182,1.3764,34.1849,64.1406,516.7342,4.7682,9.2078,22.391,15.9361,2.3039,46.7917,15.6031,29.9361,13.4411,8.1789,4.0852,9.9128,27.486,14.1502,111.5794,32.0415,4.4714,143.9776,93.4417,28.6643,2.8968,2.8546,21.2177,5.2032,28.999,1.1964,5.2117,0.9127,2.5556,15.7068,26.432,8.1743,222.5254,13.0754,60.1881,13.8841,29.8975,0.0
RUS_C16,65.2552,0.8808,5.6047,0.782,7.6852,65.7374,1.4757,575.5204,82.8962,8.0501,26.3452,2.7961,5.6396,105.339,36.9942,55.8157,3.5392,12.0427,5.645,7.9658,12.7328,755.761,24.1005,2.2505,1435.4955,100.051,24.2986,2.6839,1.6915,92.3426,0.1531,3.6012,1.7284,1.9465,0.6368,0.8524,368.3864,11.1209,5.5837,32.584,10.0422,6.7989,6.2892,35.1106,0.0
RUS_C17_18,203.6768,30.1018,7.9661,1.3195,15.6128,1815.43,25.5418,127.9186,2230.4643,22.9933,164.1956,32.2127,84.5526,169.214,32.845,63.1299,25.0273,23.9045,18.3734,15.4132,13.9332,138.0256,55.6231,27.0891,160.3465,2054.8195,34.5717,4.2987,6.9652,81.382,16.1246,165.6153,636.5244,34.4902,60.3225,290.5203,238.0875,272.2637,57.3759,646.7133,85.6468,71.7677,39.4548,165.1992,0.0
RUS_C19,1626.5613,604.3348,593.5953,87.4638,1837.8466,493.9025,49.362,160.0867,165.1987,12855.4684,3172.6966,27.2723,312.5445,466.8841,1907.3673,189.3215,46.7484,57.8645,79.5272,63.7336,108.5688,205.609,3313.0486,206.1524,2745.6822,4135.6727,5062.8282,379.2516,2184.8618,1895.3178,38.3881,59.067,20.0023,86.9877,23.254,111.2963,220.599,279.4799,184.3663,1200.0338,76.948,174.9144,47.2905,68.2342,0.0
