V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T
SEN_A01_02,183.586,0.0059,0.0004,0.0095,0.0001,712.231,8.4978,7.3598,0.0047,0.0019,0.0083,0.0128,0.0019,0.1922,0.0022,0.0051,0.0001,0.0022,0.0011,0.0,0.076,1.7584,0.0263,0.0077,0.8649,13.3355,4.8977,0.0005,0.0017,0.009,0.0,68.5334,0.0008,0.018,0.001,0.0048,0.0056,0.0146,0.0056,2.6752,0.589,1.801,0.058,0.098,0.0
SEN_A03,0.7152,6.5376,0.0056,0.1624,0.0014,112.0888,0.3292,0.0945,0.0875,0.0335,0.157,0.0194,0.0347,0.2941,0.0429,0.0977,0.001,0.0429,0.0215,0.0008,0.0369,0.1115,0.4995,0.0771,1.2669,0.1637,0.2841,0.0097,0.0325,0.1158,0.0004,3.791,0.0151,0.3253,0.0178,0.0809,0.0144,0.2489,0.0964,0.9656,0.1924,0.102,0.0075,0.012,0.0
SEN_B05_06,0.0,0.0,1.6639,3.3613,0.0062,2.3777,0.0,0.0003,0.0,7.5636,21.2789,0.0,0.0,10.4291,0.0162,0.0217,0.0,0.0,0.0,0.0,0.0,0.0055,0.815,0.09,12.9692,0.04,0.0,0.0,0.0,0.0,0.0,0.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_B07_08,3.2824,0.558,0.182,4.2713,0.0102,15.6459,1.6221,0.4691,0.4347,0.1659,31.6175,0.0921,0.1725,17.2378,73.196,0.513,0.0051,0.2135,0.1071,0.004,0.1834,2.1173,2.4843,0.4366,41.0719,0.7938,1.4056,0.0482,0.1618,0.5609,0.0022,2.4727,0.0749,1.6148,0.0882,0.4008,0.0582,1.2337,0.478,1.5291,0.6784,0.44,0.0388,0.0881,0.0
SEN_B09,0.0,0.0,0.4764,9.1497,0.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN_C10T12,78.4811,4.3525,0.034,0.7895,0.0073,310.4702,5.8541,0.4495,0.3987,0.1804,1.0437,1.2249,0.2747,2.7616,0.2271,0.4953,0.0045,0.1904,0.1058,0.005,0.1914,0.5493,2.0894,0.7374,5.9469,16.9004,3.2934,0.0402,0.1372,2.3555,0.0031,111.4405,0.0763,1.6624,0.0836,0.8059,0.1253,1.1392,0.4629,10.0849,1.4355,3.0165,0.1679,0.2426,0.0
SEN_C13T15,1.5801,0.0367,0.0016,0.04,0.0004,0.9056,50.4429,1.6142,0.025,0.0031,0.0473,0.0075,0.0261,0.0819,0.0037,0.0122,0.0002,0.0099,0.8107,0.0002,0.0465,0.7589,0.1604,0.0563,0.2495,0.0675,0.0917,0.0028,0.0089,0.0282,0.0001,1.2933,0.0068,0.0809,0.0055,0.027,0.0043,0.0873,0.2808,4.6045,2.4593,0.8408,0.1182,0.2623,0.0
SEN_C16,0.0071,0.033,0.0011,0.0178,0.0003,7.3707,0.4899,10.7499,0.0646,0.0,0.0393,0.0026,2.535,0.0063,1.0397,5.3327,0.0,0.0004,0.0003,0.0036,8.5753,16.9798,0.0075,0.045,19.8155,0.0265,0.0632,0.0012,0.0142,9.4429,0.0004,0.0165,0.0005,0.0211,0.0236,0.111,0.0026,0.8988,0.023,0.8142,0.5268,0.1541,0.0185,0.0291,0.0
SEN_C17_18,0.2634,0.2315,0.0259,1.1019,0.0463,15.9643,0.3129,0.1698,14.3495,0.3167,1.9867,0.529,0.3,10.1289,0.0088,0.037,0.0019,0.0137,0.174,0.0407,0.0205,0.3553,0.3923,2.1829,1.9683,7.7448,2.173,0.0778,1.2059,2.7781,0.0352,1.5766,5.5312,5.0348,2.0581,10.0772,0.4687,9.1722,3.1699,13.4888,13.387,2.7124,0.3885,0.492,0.0
SEN_C19,5.7926,16.7358,0.5774,16.2284,0.2324,23.5397,0.9359,0.556,0.3604,0.4991,17.7234,0.4884,0.7089,17.3299,0.1777,0.3525,0.0019,0.1249,0.1391,0.0308,0.0687,0.5729,107.9885,5.0153,38.6464,11.1632,54.1679,1.232,2.4009,6.7679,0.0184,2.0593,0.2567,4.5256,0.4008,2.9192,1.3673,7.9432,3.597,16.2619,1.7284,3.521,0.1886,0.3446,0.0
