V1,SVK_A01_02,SVK_A03,SVK_B05_06,SVK_B07_08,SVK_B09,SVK_C10T12,SVK_C13T15,SVK_C16,SVK_C17_18,SVK_C19,SVK_C20,SVK_C21,SVK_C22,SVK_C23,SVK_C24,SVK_C25,SVK_C26,SVK_C27,SVK_C28,SVK_C29,SVK_C30,SVK_C31T33,SVK_D,SVK_E,SVK_F,SVK_G,SVK_H49,SVK_H50,SVK_H51,SVK_H52,SVK_H53,SVK_I,SVK_J58T60,SVK_J61,SVK_J62_63,SVK_K,SVK_L,SVK_M,SVK_N,SVK_O,SVK_P,SVK_Q,SVK_R,SVK_S,SVK_T
SVK_A01_02,568.6939,3.7015,0.8838,1.8021,0.0774,455.2922,9.6625,257.736,136.2026,6.1457,37.0128,4.8338,40.3818,6.0939,10.3024,15.3163,10.5922,6.3636,8.4125,27.7293,0.9006,10.4836,41.632,2.7722,41.9594,140.4937,9.3276,0.2137,0.3631,12.07,0.4793,14.4886,1.1003,1.8312,6.7913,2.6036,17.5217,18.4583,27.7203,5.9689,3.4934,7.3442,1.1383,6.3348,0.0
SVK_A03,0.6399,2.0826,0.6065,1.237,0.0001,19.7267,0.0603,0.6083,0.3241,0.0049,0.01,0.0022,0.0146,0.0401,0.0094,0.019,0.0178,0.013,0.0113,0.0391,0.0016,0.013,0.065,0.5227,0.039,0.9166,0.0388,0.0003,0.0002,0.0224,0.0006,2.472,0.007,0.014,0.0578,0.0201,0.0495,0.0847,0.0689,0.02,0.0388,0.0806,0.0249,3.9573,0.0
SVK_B05_06,0.324,0.0066,0.4506,0.3419,0.0073,0.3188,0.0444,0.2698,0.0843,5.9736,0.1164,0.0138,0.1794,0.8042,6.4351,0.3686,0.132,0.2269,0.2194,0.6595,0.0108,0.269,16.5383,0.0729,4.6752,0.8737,0.8055,0.0041,0.0406,1.76,0.0664,0.0489,0.0235,0.1017,0.0585,0.1946,0.7629,0.4629,0.2456,0.2415,0.0946,0.0924,0.0284,0.0651,0.0
SVK_B07_08,1.7672,0.0148,0.4574,3.8678,0.1923,0.8998,0.0969,0.4015,0.2024,13.5956,0.5799,0.1741,0.4399,14.3849,45.3425,1.1869,0.1263,0.2975,0.4197,0.4137,0.0248,0.1336,22.9373,0.3204,30.6378,2.1703,1.0384,0.0043,0.003,7.7543,0.0607,0.1028,0.0312,0.0336,0.0305,0.0504,9.0853,1.0345,0.7747,0.2463,0.1587,0.1192,0.0232,0.0939,0.0
SVK_B09,5.9204,0.0091,10.7247,11.1233,18.3557,1.2335,0.0242,0.2909,0.0098,77.6187,0.0693,0.0004,0.0948,4.0676,7.226,2.7068,0.0002,0.0021,0.7285,0.0018,0.027,0.0587,43.7999,0.7155,21.5034,3.5693,1.8779,0.0,0.0,21.4236,0.2172,0.0142,0.0024,0.0,0.0006,0.0017,41.7605,4.6267,0.204,0.1484,0.5204,0.4826,0.0093,0.1134,0.0
SVK_C10T12,54.1283,0.4826,0.0043,0.0095,0.0094,202.4528,0.1058,0.2174,0.3919,0.0143,15.5949,3.9972,0.2247,0.1067,0.048,0.0237,0.011,0.1793,0.0375,0.1035,0.0029,0.8106,0.4855,0.1393,0.972,28.0256,0.0805,0.1796,0.0744,0.1411,0.0098,71.6482,0.1856,0.161,0.0757,0.0269,1.1978,13.7938,28.3819,2.2522,4.5699,21.292,1.2182,4.748,0.0
SVK_C13T15,1.0098,0.0225,0.0381,0.0812,0.0262,2.5844,154.4947,0.5132,8.039,0.5174,0.3286,0.2593,3.6881,0.9754,0.8834,10.9848,0.6452,1.6462,5.8718,78.4811,0.4469,13.7777,1.4516,0.597,7.4766,12.5779,1.2514,0.0291,0.1126,0.7451,0.0627,1.5882,0.0804,0.3046,0.7748,3.1204,6.2795,7.383,1.1003,6.3735,1.0208,2.7338,0.5642,0.6866,0.0
SVK_C16,19.2925,0.1524,0.4118,0.7838,0.0295,9.5604,3.4777,235.4284,20.5033,0.7684,9.7709,0.3322,10.2502,20.4025,6.4517,11.5106,1.9978,6.3881,6.9508,6.697,0.2726,165.7014,24.089,1.1992,123.6883,96.4506,2.8017,0.0313,0.0417,5.842,0.2959,5.8961,0.8784,0.8311,0.7186,1.1268,30.5683,14.0352,12.0578,1.6207,1.8853,4.4962,0.5657,11.6753,0.0
SVK_C17_18,2.5735,0.035,0.0438,0.1685,0.0355,44.9479,3.9289,2.8405,147.6808,0.7126,7.3372,5.5868,7.1197,5.4355,1.8858,5.7212,5.1135,6.1204,6.1047,8.3932,0.1401,5.7389,12.0511,1.0942,2.7096,39.5272,1.96,0.0331,0.1521,1.3012,1.0802,2.9052,18.4181,1.7232,5.99,5.2436,13.7641,22.7042,17.2339,23.1901,30.3076,4.323,3.0334,4.6689,0.0
SVK_C19,99.5893,0.804,1.0573,4.2464,1.0409,37.1999,5.6772,4.1112,9.7569,60.0615,52.789,4.3191,60.9272,25.1858,41.5054,19.9726,2.202,8.8449,11.8845,31.2528,2.6576,7.726,18.5264,14.325,68.4347,123.1731,417.2651,6.2516,1.9105,47.5441,2.4659,15.9306,2.0398,3.9119,5.4508,3.3245,14.9943,29.5776,23.0039,16.0342,5.577,9.5681,2.7788,5.9861,0.0
SVK_C20,50.7758,0.0251,0.1592,0.6083,0.1613,7.0059,10.3617,3.8369,22.13,18.6398,103.0489,13.2227,167.5708,8.8613,9.5779,13.5903,9.7257,23.6239,21.7936,78.1369,1.0444,9.4842,7.1059,2.4053,13.4096,23.2567,4.9982,0.0866,0.3215,5.1575,0.1271,1.6005,0.5719,0.9466,0.8699,1.4096,1.5699,10.7777,2.4888,1.7968,2.2382,5.6997,0.5606,1.1885,0.0
SVK_C21,1.9129,0.0047,0.0065,0.0439,0.0071,0.424,0.4282,0.2618,0.9813,0.889,3.4104,1.7053,8.1949,0.4698,0.4091,0.7798,0.2079,1.0072,1.0292,3.2604,0.0451,0.3315,0.6346,0.1308,0.4986,1.0154,0.1968,0.0063,0.0032,0.2701,0.006,0.1352,0.0607,0.0298,0.1084,0.6539,0.1375,1.674,0.1962,0.1304,0.2878,7.4075,0.0808,0.2447,0.0
SVK_C22,9.0075,0.0528,0.2281,0.5686,0.1013,42.9835,10.0784,1.7677,20.1261,2.4386,20.715,3.6535,193.4502,6.0237,2.3872,21.5041,95.1058,63.494,20.1088,465.3609,0.4925,21.3672,2.9572,3.9701,37.3506,26.2253,13.1976,0.0259,0.0342,4.1796,0.0821,2.3693,0.5706,0.3004,0.892,1.7727,7.9985,6.9889,3.401,1.6797,2.4543,2.6955,0.2416,0.6289,0.0
SVK_C23,4.1017,0.0985,0.7538,3.5899,0.1813,37.674,6.2201,4.9864,1.2602,4.8348,4.0488,2.466,33.7932,154.0235,69.9665,13.1384,2.1876,23.9167,12.7198,13.9252,0.394,6.2661,8.0076,1.8698,346.1123,22.8668,6.8611,0.0334,0.065,5.1261,0.2949,7.6284,0.2161,0.2831,0.4207,1.2341,29.308,21.4887,2.2467,1.4529,1.0351,1.1288,0.2655,0.955,0.0
SVK_C24,1.0549,0.0062,0.1575,0.4326,0.3137,5.9436,1.3636,0.3875,1.6133,0.0038,1.6735,0.7934,37.6533,10.2399,545.3934,428.241,20.9153,79.4618,354.633,134.9449,20.7855,44.4242,20.7334,2.3588,137.0326,59.3047,4.9027,0.0115,0.0126,0.5268,0.0019,0.0495,0.1729,0.0053,0.4031,0.0385,0.1298,107.2819,2.7807,0.1182,0.2176,0.1243,0.0274,0.1082,0.0
SVK_C25,10.4602,0.095,0.4422,1.2044,0.4108,12.2727,4.9095,8.4299,8.3188,21.4451,7.7336,0.8702,41.1127,12.6025,30.4872,635.0448,12.0477,51.2098,331.6947,1454.533,9.6992,108.5495,14.9994,4.0659,192.358,111.9135,12.7706,0.9546,0.6061,6.9127,1.6746,3.2063,0.6371,1.1651,2.4505,1.9876,21.8406,32.3089,14.3014,8.4162,4.2517,3.9169,0.9739,3.6261,0.0
SVK_C26,2.7325,0.0122,0.0717,0.2059,0.0609,2.7221,0.7673,0.4679,1.6115,1.1755,4.9248,0.3394,13.3891,1.0408,2.8335,17.6282,847.6393,46.9288,22.9511,56.177,2.6475,17.3081,5.5944,1.7081,12.4556,58.8288,1.9471,0.0978,0.2501,1.7541,0.2902,2.5598,1.5894,7.8467,20.2999,4.4131,8.3194,14.5403,21.4371,14.5966,10.4203,3.4675,1.2271,5.8084,0.0
SVK_C27,3.9064,0.0412,0.3006,0.6564,0.0834,5.1257,1.4645,1.3586,1.913,1.9986,3.6014,0.532,6.4346,2.076,4.202,34.6154,59.8224,203.1278,34.7641,181.0346,1.6881,27.3679,85.3858,2.4181,50.1573,32.2957,5.8232,0.131,0.3049,2.1865,0.2117,1.6787,0.962,7.6002,6.3849,3.3817,7.3151,42.9831,8.1941,5.2719,2.3614,2.6685,0.6091,3.5464,0.0
