V1,THA_A01_02,THA_A03,THA_B05_06,THA_B07_08,THA_B09,THA_C10T12,THA_C13T15,THA_C16,THA_C17_18,THA_C19,THA_C20,THA_C21,THA_C22,THA_C23,THA_C24,THA_C25,THA_C26,THA_C27,THA_C28,THA_C29,THA_C30,THA_C31T33,THA_D,THA_E,THA_F,THA_G,THA_H49,THA_H50,THA_H51,THA_H52,THA_H53,THA_I,THA_J58T60,THA_J61,THA_J62_63,THA_K,THA_L,THA_M,THA_N,THA_O,THA_P,THA_Q,THA_R,THA_S,THA_T
THA_A01_02,4057.7319,11.4566,0.0008,0.584,0.1288,21145.3459,145.9429,137.595,20.1268,0.0002,182.5847,98.9187,3416.8889,0.3439,0.3089,0.1036,0.0,0.0,0.0172,0.0,0.3795,14.0431,7.4398,0.0042,52.8009,0.2433,0.0265,0.0007,57.6952,0.0747,0.0071,2215.2432,0.0296,0.0114,0.89,21.5183,13.5219,3.4855,2.3573,54.99,226.2432,263.1699,23.8292,39.0741,0.0
THA_A03,93.9591,300.2537,0.0,0.0,0.0005,2324.1218,0.0,0.0,0.0,0.0,0.0271,111.5534,0.0,0.2238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1176,0.0,1117.6588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8895,20.6089,40.6553,1.1952,0.0,0.0
THA_B05_06,0.0,0.0,154.7603,0.0,4.9808,2.2347,0.7151,0.0,5.9742,8449.7492,80.6787,0.0,0.0,75.6336,146.4983,0.0319,0.0,0.0,0.2333,0.5146,0.0,0.0365,3509.2655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THA_B07_08,7.9454,0.3879,1.993,1.5881,4.1175,53.2337,0.7315,0.0,6.6931,0.0793,116.8887,7.8668,1.8946,1040.5526,107.1031,3.1418,0.6146,5.9646,7.698,13.7961,1.3466,95.0037,0.2891,0.3073,1047.5303,0.0,0.4495,0.0,0.0,0.0,0.0,0.0918,0.0,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0506,0.2342,0.6616,0.0294,0.0
THA_B09,8.901,1.754,314.7177,44.0241,57.4003,5.3822,0.515,0.2512,3.8004,351.1528,18.1312,0.1361,2.3813,50.0098,43.6374,3.262,0.2534,0.3497,1.1724,0.2674,0.1591,0.5159,100.041,1.0887,66.1996,1.4732,3.3231,0.306,0.675,0.1406,0.0097,0.3961,0.0104,0.0,0.0038,0.0113,0.7436,0.6607,0.301,2.1447,0.0833,0.2924,0.0428,0.1582,0.0
THA_C10T12,2827.4399,645.1249,0.0,0.0,0.5039,11100.6565,326.3013,16.8898,47.4868,3.184,367.4811,128.0889,24.895,19.6513,0.0015,0.0,0.0,1.485,0.0,0.0,0.1423,46.2475,37.0389,0.0,0.0,142.0267,18.4455,0.1668,302.4227,0.0,0.0347,9676.5803,7.5429,0.0497,6.1515,28.4824,1.6531,10.3356,20.3697,135.614,227.1655,190.1104,55.3013,151.2981,0.0
THA_C13T15,15.8577,16.3107,0.0119,1.1964,2.481,23.8737,8896.8,0.1069,7.5284,0.4611,233.5154,11.2842,232.9768,24.88,2.3007,0.4126,56.014,79.4204,7.2705,49.9692,70.4274,277.6453,7.4121,2.0199,9.3171,768.3977,21.0083,41.5641,24.8209,5.4639,0.3322,471.4872,36.2878,0.4471,26.693,175.293,3.3036,26.152,53.6028,245.4805,13.8698,96.5808,9.2816,85.5058,0.0
THA_C16,86.4806,2.6996,0.0,3.9027,0.3409,2.3672,3.4366,543.977,1.6617,0.3237,11.6657,0.2077,5.7198,10.9435,0.5011,13.7372,12.6194,9.3658,20.1078,23.535,34.8231,238.6769,1.0821,2.2845,255.85,62.1723,0.1841,0.0131,0.1234,1.1912,0.0,5.1044,1.0768,0.0,1.2017,5.6008,0.1421,1.8352,11.3771,0.3716,0.0398,0.7474,0.0124,3.2937,0.0
THA_C17_18,10.2341,0.2163,1.5937,1.017,0.534,129.3904,66.1134,2.9409,1602.2995,3.6614,66.9325,39.5408,33.9957,54.4846,7.9792,18.3091,41.0903,31.8172,4.3961,104.6761,4.8548,56.4247,9.8559,2.3452,15.0726,259.5443,14.1071,4.3256,3.9027,0.8396,4.4671,53.7038,249.2469,6.6053,152.6244,287.5055,7.7088,212.3658,151.318,149.0593,460.2074,22.9749,10.1959,20.1752,0.0
THA_C19,893.2454,727.1173,1087.4907,226.4225,32.2899,474.0004,299.3067,51.6464,56.9319,697.4703,1689.8976,9.5168,274.4228,446.0639,426.8518,103.2306,146.6297,97.637,252.3959,525.5729,72.6982,95.5282,1447.1143,65.958,597.0719,688.8345,3546.5156,1502.1913,1786.4989,3.5347,47.6743,405.4794,39.2374,47.0609,70.8711,139.5375,29.3169,115.5661,322.9591,755.6792,289.5702,62.7493,15.7285,229.8813,0.0
