V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T
TUR_A01_02,13209.736,5.2562,161.5381,73.0511,0.0624,23084.399,3838.918,444.1763,188.6246,0.0069,91.8239,20.2863,217.8604,18.7725,2.9488,4.6851,0.1982,4.8445,9.6135,33.367,2.1235,149.87,0.0399,5.1914,119.2665,402.1181,20.636,0.8805,7.9202,1.2595,3.5896,1557.745,1.3239,1.4278,3.6153,5.304,31.9017,73.3997,100.1637,576.4962,52.7899,40.3943,40.5599,56.0261,0.0
TUR_A03,4.3102,57.9089,0.0654,0.0696,0.0002,151.4708,0.046,0.0,0.0,0.0004,0.0287,0.0,0.2864,0.7045,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0291,0.0,0.0,3.4254,18.9416,0.0,0.3265,0.142,0.277,0.0,328.2754,0.0,0.0,0.0,0.0,0.0216,1.1099,1.8623,3.0159,0.0637,0.7431,0.9687,0.1342,0.0
TUR_B05_06,16.1226,0.163,138.3731,34.6021,4.3106,66.866,64.3313,30.1689,21.376,198.3906,30.9526,4.2435,7.7655,90.6992,730.1723,0.4133,0.1697,0.6132,1.2534,12.5155,0.5106,12.3677,895.3768,11.5373,8.3793,214.0392,83.049,0.5224,0.1078,0.4607,0.0731,62.4966,0.3321,0.4828,0.7194,23.8474,645.4401,18.2014,8.7709,1.4766,3.297,21.7914,0.5875,37.1002,0.0
TUR_B07_08,48.6703,0.309,36.4451,405.7615,3.4828,102.1279,83.7647,3.0094,31.1014,2.6231,250.1552,0.402,24.113,997.2309,3545.3331,36.6832,0.8253,26.9031,9.8247,31.7067,0.9576,17.2086,4.6959,9.0749,930.0518,57.0143,41.2174,0.6048,1.0561,0.5655,0.1587,4.1443,0.234,0.7805,0.1518,1.0726,11.0622,15.2849,6.5891,3.9838,1.7441,18.861,0.9025,2.6661,0.0
TUR_B09,6.2748,0.3392,45.3525,62.2931,7.8287,2.3941,0.4136,0.076,2.4529,1.7194,5.0385,0.0496,0.9446,36.831,45.292,3.4475,0.0178,0.2592,0.889,0.1375,0.027,0.4554,4.9209,0.8916,179.3099,0.92,7.9345,0.1312,0.5004,1.1963,0.0093,0.2793,0.0065,0.0,0.0046,0.005,2.2142,1.2025,0.957,1.8804,0.0735,0.2905,0.1219,0.2201,0.0
TUR_C10T12,1928.4879,70.2773,2.168,20.6485,0.1124,9804.2907,138.6206,2.5791,61.0839,0.0459,40.4164,21.853,12.9989,15.646,9.867,16.3201,0.6275,11.5454,14.2384,6.9535,4.5376,52.0432,0.804,13.197,82.1452,717.2279,70.3012,6.2925,1.9837,10.155,15.1917,8273.3894,8.7774,9.6182,5.1713,22.3401,5.2617,62.1202,193.0659,585.7032,95.2152,134.7086,75.331,104.7243,0.0
TUR_C13T15,65.8586,4.7196,74.1913,161.6305,0.9966,257.4477,19988.1794,5.7306,217.0496,3.0247,167.4,37.0739,173.8955,258.2589,32.5223,91.7904,12.5387,150.0797,214.0231,274.7579,17.332,762.0533,15.8899,16.4041,409.1831,991.5248,101.2618,1.3664,20.1814,39.3921,23.5306,225.8097,11.1206,3.076,3.0983,23.7335,43.9524,49.9429,204.7851,717.6307,82.3073,54.6373,53.335,786.3908,0.0
TUR_C16,45.4901,0.8397,2.8392,0.9865,0.2352,36.6966,39.951,577.4376,27.2839,0.3138,28.3554,2.0876,56.4949,88.1483,21.077,89.4586,1.9153,58.9059,58.1747,12.2758,17.8923,1648.4998,1.4428,6.3816,2275.781,123.5957,21.4022,0.3725,2.3901,1.5401,0.938,5.1975,1.7286,1.5493,13.709,3.7647,13.4408,27.6333,25.0722,14.4196,2.1408,15.0158,2.4563,97.6338,0.0
TUR_C17_18,149.6864,8.3233,2.3459,18.2627,0.4164,950.9372,515.1086,60.497,3083.3209,1.3237,274.0246,63.458,338.6309,265.1291,103.7147,139.5186,34.5376,186.0915,114.6173,104.2407,11.0875,237.9557,9.2841,13.2139,209.1308,1442.7432,210.8165,3.3313,9.1243,99.4697,55.1781,279.0786,649.9731,52.793,62.7445,238.7913,32.1217,501.4015,601.1336,348.9507,225.9478,158.2148,105.7621,188.7992,0.0
TUR_C19,611.2957,28.0483,179.7503,364.9691,2.296,138.9708,90.9546,13.1844,30.0434,6.78,148.8919,8.4716,101.2431,293.8144,53.1989,63.1599,3.6452,82.4371,44.2167,43.1201,4.9353,66.7485,21.6884,56.1601,1124.6624,774.327,3509.656,159.4535,1342.1302,172.9285,60.9477,101.2582,4.9202,11.0465,6.2602,18.1943,117.4965,71.548,179.294,463.8731,77.8097,34.0158,9.1651,104.517,0.0
TUR_C20,1448.9931,5.1545,22.0932,45.5238,2.5306,472.168,1565.7447,135.2426,548.0103,3.1988,2730.6051,135.9301,2632.4643,430.29,302.2119,271.7129,52.5042,350.4601,112.8927,253.1284,32.0755,475.5953,19.0552,113.4163,918.8501,380.0855,196.307,7.262,57.6395,19.1434,4.5322,128.9082,21.3719,4.3981,3.152,18.0982,355.6121,69.3783,163.041,124.9913,33.2635,87.0639,26.7149,114.2717,0.0
TUR_C21,46.3989,0.238,0.6106,1.0795,0.0839,80.0299,23.0328,1.6454,7.8344,1.045,21.4623,220.9494,19.0323,5.9274,7.3364,6.268,2.5277,6.5558,5.0121,9.7519,0.7719,10.3939,4.3591,48.5691,29.9208,29.8767,8.5797,0.6555,2.5818,0.7627,0.3717,5.1353,0.9465,0.9467,1.5684,6.2848,4.1359,33.0732,7.5647,7.7577,11.6152,361.4888,21.1465,9.8538,0.0
TUR_C22,238.7175,3.4171,16.2937,13.4718,1.4885,954.9464,356.1961,44.0886,310.8417,0.8701,249.2135,52.4784,1675.3079,154.9951,36.9581,266.9343,79.1642,680.093,383.0843,1208.5586,69.3244,583.6997,4.4964,41.9902,3785.4857,615.2944,1127.6868,2.5074,2.9353,27.5755,18.2499,51.467,15.0338,7.519,1.6228,8.4632,735.9726,38.5629,110.1741,106.4603,8.7434,41.1358,5.379,116.4638,0.0
TUR_C23,84.0272,0.297,14.9631,57.1701,1.4859,231.6537,65.0263,12.8351,23.0505,1.5857,100.7114,19.4827,265.4974,2587.3389,112.8142,182.8928,11.7279,187.1809,129.4763,352.834,20.3302,276.1119,9.6569,26.4428,15123.7344,364.801,473.9351,2.3281,6.9606,5.23,2.2666,104.5323,11.652,4.7675,2.0261,7.8775,1290.8186,68.363,83.9138,196.3223,5.5118,165.363,10.339,87.5075,0.0
TUR_C24,0.9632,0.2445,24.0574,30.4091,1.493,71.1417,14.89,33.9253,58.0574,0.1561,61.3974,8.8186,382.1455,123.6629,9116.4207,5732.2197,113.8787,4386.3008,2157.6158,2001.5398,263.172,1662.7562,1.3639,44.9214,6245.0708,477.8232,154.5489,2.5408,0.0001,17.1446,0.0496,34.2608,2.4104,1.3384,9.7689,0.0258,22.9345,42.6062,47.4804,2.3066,0.0743,0.1792,1.2849,30.5138,0.0
TUR_C25,60.2017,1.282,12.0165,23.6477,3.4996,316.2892,170.7422,45.1812,47.2243,2.0715,136.761,5.2815,238.9075,70.8281,162.752,1262.9356,104.4586,470.5242,836.5831,997.398,137.8823,743.9035,8.9064,30.9747,5910.2517,418.3941,415.0905,1.0991,7.6937,20.504,2.652,22.6509,15.0981,24.4256,2.4917,11.3519,362.4984,22.4867,47.8883,520.3564,8.9634,32.08,20.0991,82.2512,0.0
TUR_C26,11.2244,0.0862,0.8454,1.1768,0.2602,11.4082,10.1716,0.7008,3.2596,0.606,5.0792,0.6925,7.7134,3.7417,4.2906,24.8085,501.216,142.6453,47.174,201.3261,8.2881,67.9332,4.7015,4.729,132.6987,47.1155,19.3901,0.4478,5.6354,1.2401,1.5203,4.323,8.3172,55.779,13.0799,11.6591,6.2091,27.4264,97.9163,26.3248,9.6663,63.4951,8.3193,88.6308,0.0
