V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T
TWN_A01_02,1669.3397,18.8023,0.0145,0.0973,0.0451,5056.6521,268.1677,18.5656,0.9024,0.497,29.5524,44.115,20.0741,0.8514,0.799,0.5244,2.8998,0.2694,1.0295,0.2207,0.1096,1.8345,0.6341,0.5197,40.8413,84.7819,0.4521,0.6661,0.0796,0.5862,0.4132,696.098,1.6371,0.1056,0.2133,1.1401,3.7111,4.5923,9.7892,63.5503,8.0176,1.0889,14.4196,21.2926,0.0
TWN_A03,2.9852,108.2027,0.0014,0.0094,0.0043,123.924,0.0224,0.0695,0.0145,0.0481,0.515,1.1135,0.0152,0.0494,0.0749,0.0398,0.1737,0.021,0.0605,0.0202,0.0105,5.9762,0.0407,0.0265,0.1132,7.46,0.0358,0.0743,0.0057,0.056,0.0458,17.5607,0.0293,0.0058,0.0192,0.0698,0.1172,0.1638,0.0908,4.2141,0.0326,0.0586,0.6795,0.2179,0.0
TWN_B05_06,0.0008,0.0013,0.4038,0.4851,0.2376,0.1555,0.9415,0.0017,0.3654,297.489,7.9401,0.0225,0.1743,12.8648,27.7609,0.0488,0.6951,0.3903,0.0495,0.0134,0.0143,0.0725,118.0389,0.0309,6.3265,0.1842,0.0022,0.0057,0.0087,0.0039,0.0005,0.321,0.0065,0.0038,0.0705,0.0579,0.0345,0.0304,0.0181,0.0448,0.0092,0.0087,0.0063,0.0092,0.0
TWN_B07_08,0.0071,0.0159,0.0611,1.9746,0.4314,1.1985,5.3995,0.0036,3.0365,51.554,127.5352,0.0622,0.9634,269.2301,230.7344,0.7103,6.0539,1.1136,0.6454,0.0879,0.1938,0.3604,339.2161,0.2873,207.4481,0.0633,0.0006,0.0113,0.0,0.0015,0.0,0.5158,0.0,0.0026,0.0,0.0,0.0,0.0728,0.0101,0.0152,0.0,0.0,0.0067,0.0207,0.0
TWN_B09,0.0138,0.0443,5.4422,0.5924,0.9243,1.1384,0.0493,0.0024,5.4797,113.2391,20.9711,0.0417,1.4637,116.5062,23.7534,0.9502,1.3875,0.7454,0.9855,0.1057,0.0179,0.4051,227.1531,0.4126,106.9496,0.0914,0.0004,0.0076,0.0,0.001,0.0,0.3098,0.0,0.0,0.0,0.0,0.0,0.1182,0.0037,0.039,0.0,0.0,0.003,0.0103,0.0
TWN_C10T12,1510.4647,247.6714,0.2463,0.8564,0.417,2645.23,174.678,6.4366,14.4821,10.75,109.7261,54.5723,18.4618,8.3233,34.8678,16.1563,76.8322,10.8906,19.5782,4.515,6.1262,59.0639,14.483,1.8809,29.1064,262.2237,3.5364,4.569,6.7606,3.1617,0.9709,2541.1583,10.012,1.6991,1.9633,10.634,19.0744,13.6091,3.4056,116.8877,26.1575,45.6952,159.1581,34.5662,0.0
TWN_C13T15,12.8058,53.9815,0.8135,1.6411,0.8311,27.9533,3171.2509,1.5514,48.2618,11.9535,188.9472,12.467,195.5047,35.1266,28.6106,39.5149,235.7142,18.8066,33.5706,44.1525,17.4039,100.8179,9.5381,5.9433,49.6427,83.5883,4.5749,3.3942,5.4496,3.8406,2.3404,109.5678,8.2127,3.3746,2.688,8.4618,3.5439,39.5107,4.1868,32.3334,10.7254,18.8296,5.6976,40.1089,0.0
TWN_C16,7.9284,3.9255,0.7948,3.5881,1.7815,1.5086,4.6935,229.7786,64.9628,1.4087,7.7628,0.1827,4.6501,14.1268,7.5071,27.419,9.0615,6.65,14.744,7.9993,18.3275,56.2059,1.612,0.442,575.4669,45.0762,0.4288,0.3082,0.102,0.8229,0.1496,4.0996,4.6012,0.1311,0.366,0.411,0.2446,17.8685,3.0167,4.2076,5.7956,0.5543,1.4351,0.5798,0.0
TWN_C17_18,9.766,4.8216,0.5699,0.2673,0.1412,192.7722,95.4963,8.5688,2107.7506,21.5965,286.4303,35.1412,76.5127,88.514,40.0153,90.474,361.2417,45.4746,49.8672,19.5242,17.4207,38.8775,22.4327,8.5574,61.8158,1089.0989,8.6362,0.771,6.6618,9.505,10.9823,212.9936,885.558,32.6307,18.4866,395.0112,10.8826,574.1436,201.8164,359.1,126.1459,92.7614,40.397,153.959,0.0
TWN_C19,67.6104,207.0416,14.119,158.9452,55.2611,103.0306,210.3002,10.9816,137.72,2938.3512,5291.918,9.2253,141.8,398.6495,1145.191,210.8303,512.2342,62.222,155.0519,39.666,34.8581,32.8215,1478.8076,51.4165,287.5499,1145.0135,916.3219,236.1616,1192.4927,93.239,24.0676,102.9105,16.4934,14.6097,6.7343,33.8126,47.0012,66.9088,111.1244,193.4392,41.5999,73.6561,21.4053,92.7111,0.0
