V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_A01_02,76074.0532,7.7852,67.6159,45.4969,38.1133,186972.4863,1046.9914,9368.3574,3327.6349,12.4185,7449.5289,152.7998,1209.3942,1.4284,0.9323,1.3178,0.2137,0.1216,0.7746,0.7294,0.3655,484.3103,7.0212,0.6827,2243.6237,2875.6244,33.183,87.0571,0.2687,5.8224,0.4223,573.5989,174.0124,5.8988,7.0983,18.3486,98.8687,704.667,954.927,4002.0908,409.5775,8.6352,580.427,58.3787,0.0
USA_A03,5.6257,24.8167,0.0005,0.0003,0.0005,1062.1878,0.0,0.0,0.0001,0.0014,2.7651,0.0,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0016,0.0,0.0,78.9233,0.0007,0.5188,0.0001,0.0004,0.0001,613.2545,0.0,0.0004,0.0,0.001,0.0214,11.6066,0.0001,60.5688,13.2953,0.0003,20.5945,18.4215,0.0
USA_B05_06,849.6219,3.3442,14160.5867,468.9813,423.1868,793.8791,52.0033,33.9988,853.7246,151010.8724,3780.5334,23.8335,122.5389,898.0909,3425.301,43.173,8.3207,38.7751,59.69,44.0116,16.1732,32.8811,21943.0571,34.3174,931.6382,189.3977,1013.2469,102.2728,672.7254,81.6529,152.072,281.4588,12.8006,21.7727,21.106,230.9405,630.205,180.7572,126.7716,16170.3096,654.0658,213.0319,23.8183,71.7201,0.0
USA_B07_08,907.1769,0.0297,656.0464,2685.3563,109.3948,207.4016,43.8379,15.1801,343.1716,63.4633,3199.2368,67.0486,243.7897,6317.791,8416.7917,311.9926,16.9852,62.8895,92.6849,83.1213,110.3314,170.5125,902.5179,366.7999,11632.0984,58.4639,109.6582,0.5465,2.1134,20.2658,3.934,49.6569,47.0366,107.5032,139.3172,28.1423,606.7528,496.216,217.4291,1697.5086,186.8657,88.0895,347.6465,333.9388,0.0
USA_B09,20.0871,0.0811,7417.481,923.6434,941.0239,45.2771,3.2143,7.681,19.5484,89.5304,34.8707,5.87,19.5051,19.8225,25.9299,75.8219,11.8683,16.214,44.2787,122.5088,22.47,19.7662,52.9177,4.7366,1093.6631,58.4285,23.5153,3.0604,2.7094,14.8988,5.45,19.9663,6.3057,21.1711,9.0453,33.4183,598.0492,58.4717,16.6444,396.9965,42.632,21.8935,4.2843,21.0948,0.0
USA_C10T12,34649.3012,0.2053,52.3383,17.9743,23.8663,135114.7691,860.4498,90.4507,1818.9365,253.2609,2798.6444,1742.4531,450.5606,257.7679,85.3988,135.0628,53.0889,51.4943,140.2975,207.5787,63.8893,118.7077,44.376,14.5812,423.5329,6289.3264,53.4429,349.0743,368.586,20.5931,10.8839,47502.7076,83.8973,48.9068,64.1741,24.2935,116.7808,4235.179,102.7163,29083.2735,18123.4361,17476.8043,4231.1132,1920.3745,0.0
USA_C13T15,329.0019,9.4147,37.1661,11.1303,13.7783,185.2159,4140.3243,274.2275,1448.9548,31.4505,691.631,82.4583,1251.6039,219.975,24.6942,154.2709,21.1236,21.889,401.6344,2157.3049,456.605,2050.8661,20.1721,55.3979,1223.9818,3284.7559,16.4169,101.6245,2.9537,20.2708,28.4512,875.1451,72.273,133.3579,19.3216,12.8043,178.7174,194.974,245.2271,1818.503,321.4649,1678.1165,155.674,647.8904,0.0
USA_C16,303.9016,18.3789,48.5946,59.8881,127.3335,371.1754,38.6987,15173.9767,3638.2502,9.6481,201.204,20.1833,1083.414,298.8196,369.9481,705.2441,134.9997,185.3185,746.2067,2301.0597,226.8452,4918.0968,11.1283,14.0958,31154.8265,3336.4046,1366.2831,1.6351,2.4184,170.8663,60.7698,977.7381,161.7719,502.5971,876.5565,72.6228,4165.2432,480.2693,761.139,980.488,1773.7124,946.7425,89.2553,312.7084,0.0
USA_C17_18,393.4795,0.2793,133.5172,128.6496,103.6805,18771.3072,485.3397,605.4544,40772.7618,95.3026,5190.2493,2169.2446,4044.4866,1267.8502,1750.354,2342.2266,578.052,884.2247,1904.6254,2353.9049,638.0578,2738.8533,215.4923,217.2196,2825.6714,21599.3079,1226.4787,84.0595,43.8724,2222.8688,930.7244,5678.534,8410.1047,1356.7729,3663.7151,6868.6498,1873.3811,10269.5839,6201.2792,11498.473,9865.6863,9659.0847,1169.4231,2536.5736,0.0
USA_C19,5729.4026,112.8509,3313.7627,1856.5303,2306.1857,2387.362,305.0357,824.272,2378.4317,11277.4553,10691.4068,532.7506,1908.2906,3870.7722,2178.0494,996.6711,185.9863,1105.2461,1265.7664,525.3568,239.7509,865.3045,12954.9141,999.7268,18415.3655,4626.8189,33644.5958,3466.1456,22840.1563,2296.969,5067.3939,1796.1324,311.9431,295.4941,517.2728,6807.6624,3923.6179,1927.0549,3944.3558,39531.9233,15391.0814,4463.7536,512.7769,1529.0535,0.0
USA_C20,22474.8427,0.6254,4436.7833,1309.3116,1525.9383,5138.7296,6779.5678,1822.1949,12777.0444,3900.7727,96085.1946,10191.9991,37743.2644,3203.8249,1484.5356,6630.7428,1722.2815,1768.7407,3030.8623,5836.2211,1015.4085,5434.7581,2051.5254,889.8769,9327.7889,2751.1722,461.4425,28.1086,102.975,1011.1035,164.0217,1171.5792,761.5978,510.7749,604.7769,474.7241,8180.9726,7399.1029,4684.0639,17877.6521,4282.5443,6605.6325,359.6271,2669.7523,0.0
USA_C21,703.8531,0.1059,24.7173,8.1813,11.1802,394.1807,31.161,44.5655,75.1167,21.6599,321.2135,22116.9827,141.9014,27.2194,42.3775,71.8537,49.5124,29.1871,80.0017,119.7063,46.0963,67.7507,70.158,10.6106,296.612,444.102,17.3549,2.4232,7.8389,10.877,5.6124,46.3718,23.7447,47.455,35.2956,48.5041,48.1228,1690.3981,62.7962,1763.6282,51.0049,21345.8535,132.9876,40.1858,0.0
USA_C22,1047.6945,0.3047,400.3844,492.9126,864.2739,13030.8198,413.4358,616.3353,3118.8482,220.7901,8111.63,2523.1876,13301.2138,1036.9722,1410.6457,3460.9373,1059.0075,1335.3903,5313.8332,17728.2658,2381.9292,8300.1422,95.5946,234.7935,23695.6674,14413.1269,607.8769,8.1312,15.8021,555.8025,2496.5594,4197.9157,1783.8985,2227.4985,793.9563,475.459,572.6977,4136.8084,2559.3222,7712.0168,1437.3283,7751.9026,149.9867,890.8667,0.0
USA_C23,122.7018,0.1764,693.0921,223.8551,712.0288,4026.8269,161.9234,669.3576,454.1116,26.8031,1413.2036,590.0858,1419.0336,10946.2392,2490.4376,1214.5114,295.3291,1354.9369,1766.0802,5408.5727,277.7189,928.0479,147.6373,146.9785,61233.3282,1302.0127,65.9316,3.3567,6.7879,117.7581,30.3001,1453.1462,344.1021,1607.1975,619.8503,137.4615,265.2378,2524.5528,1040.6874,4455.6567,436.8122,3087.8469,94.2035,673.9837,0.0
USA_C24,54.4567,0.0,4414.9619,341.7653,428.1435,3221.7156,158.4158,314.077,569.1506,0.0,761.5767,0.0,1056.1469,477.967,53031.3861,49896.907,2353.1548,8514.4305,21383.9586,19980.8881,6677.9329,5389.4648,271.3858,265.7008,5386.3917,1157.6727,650.1233,0.0,0.259,206.4745,5.8698,64.6324,2618.8515,548.5514,267.5822,0.2842,1169.3343,925.2085,348.0906,836.7407,108.4822,191.4223,113.0137,133.9455,0.0
USA_C25,1591.6009,20.2448,1457.4804,549.8388,1199.5367,10651.1957,560.6089,2097.3836,4739.7918,247.7034,6534.7429,555.0616,5389.2665,2198.4533,7387.246,29893.9886,3877.7993,5987.8431,16117.0667,49932.5151,8110.3969,6293.2166,357.0611,1302.6647,59308.9775,5455.4661,1540.3122,1117.2037,86.6331,786.6307,764.8713,2614.8088,1515.7837,3423.5297,1973.2071,767.5409,2731.561,4358.5114,2622.9925,9428.6061,828.2789,2033.3417,457.4694,1105.5515,0.0
USA_C26,162.3344,0.1312,48.0964,13.4948,173.1479,1218.8782,258.3602,378.5039,856.7873,59.9145,2126.8933,118.6448,979.0799,436.3686,1172.6956,2215.6581,12728.4637,1974.3915,3496.5596,8151.0236,5918.64,1869.5363,167.8802,243.7036,2714.9898,5436.3038,153.7817,5.6063,14.1123,166.9405,11.7675,240.311,1654.9182,6784.8993,3421.0633,1172.1728,348.8634,6940.3235,1437.1095,8778.2602,712.3826,3401.2529,70.6826,1233.1124,0.0
USA_C27,730.1807,0.5878,92.2646,25.3957,219.5235,525.0015,45.7359,550.0825,336.0768,15.3235,577.5448,64.0955,733.1554,118.0634,1471.2304,1209.8798,1097.6633,3982.3781,6656.8559,2966.7584,1258.9849,847.1717,42.7929,286.6989,18951.2786,904.7974,129.4056,12.0085,5.3698,229.7745,6.8608,526.2302,26.3848,2043.4894,734.4599,98.0582,612.8351,2104.9886,1041.7944,2500.3905,559.5636,714.1979,142.639,584.0021,0.0
USA_C28,2737.6723,0.4371,4916.0897,1630.329,3327.6307,2546.3727,74.423,506.1894,1304.3538,47.7506,2703.6854,112.7178,1412.092,245.3561,1334.9945,2918.2629,389.6131,960.9882,22194.9724,15951.3051,3022.7079,2434.1638,578.6788,1543.8443,23452.52,3168.0111,451.3869,23.9706,27.6892,2023.5825,90.6481,638.5778,1014.7202,1436.0698,1014.8557,167.9371,270.2339,1807.1809,2812.4882,2952.2985,1885.5246,796.5382,86.195,1092.9296,0.0
USA_C29,636.5755,14.9217,634.0916,501.2412,410.3113,2104.86,83.1748,580.786,1074.9009,25.2452,1063.4801,123.0419,475.6774,546.842,792.6044,1002.3521,334.9828,267.313,10669.7238,109607.6049,2834.7829,869.7222,104.539,783.1717,1922.8577,18520.2381,3175.5313,24.9271,5.4855,2023.4214,926.0474,434.7586,1167.2087,254.553,126.2145,99.6792,100.8959,2402.5923,4925.9382,4949.4677,1393.0182,1395.9972,103.6783,571.0029,0.0
USA_C30,0.0,8.9215,40.612,0.0,0.0,0.0,0.0,35.0807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.1947,0.0,0.0,140.1578,327.4113,61283.2138,0.0,0.0,23.1192,7.0486,39.6698,1308.2063,1640.6518,810.6373,486.6774,591.6736,0.0,0.0,2.6931,0.0,0.0,0.0,147.362,29.662,24138.7664,0.0,11.1747,23.378,144.4769,0.0
